Latitude,Longitude,state,Population_Served_Per_Public_Clinic,Population_Served_Per_Private_Clinic,Population_Served_By_All_Clinics
1.948424,103.473396,Johor,42727.3,5637.2,4980.1
5.982475,100.664901,Kedah,41923.1,7440.3,6318.8
5.346801,101.979464,Kelantan,35471.7,11058.8,8430.5
2.301874,102.30943,Melaka,35769.2,5407.0,4697.0
2.782086,102.246249,Negeri Sembilan,29736.8,4870.7,4185.2
3.580066,102.740679,Pahang,26507.9,7990.4,6139.7
4.541805,101.062068,Perak,34383.6,5081.0,4426.8
6.653935,100.274061,Perlis,28888.9,8965.5,6842.1
5.386393,100.253896,Pulau Pinang ,68076.9,4234.4,3986.5
5.368437,100.450014,Pulau Pinang ,68076.9,4234.4,3986.5
5.275299,117.108419,Sabah,51282.1,15564.2,11940.3
2.651528,113.767892,Sarawak,14583.3,19047.6,8259.6
3.280866,101.503325,Selangor,117857.1,5259.0,5034.3
4.882101,103.141366,Terengganu,32631.6,9051.1,7085.7
3.148164,101.691846,W.P. Kuala Lumpur,127857.1,2868.6,2805.6
5.311329,115.219238,W.P. Labuan,100000.0,20000.0,16666.7
2.926003,101.688412,W.P. Putrajaya,25000.0,25000.0,12500.0
