Latitude,Longitude,state,Doctors_In_Public_Hospitals_Per_10000_People,Doctors_In_Private_Hospitals_Per_10000_People,Doctors_In_All_Hospitals_Per_10000_People,Doctors_In_Clinics_Per_10000_People,Total_Doctors_Per_10000_People
1.948424,103.473396,Johor,6.1,4,10.1,2,12.1
5.982475,100.664901,Kedah,9.9,2.7,12.7,1.6,14.2
5.346801,101.979464,Kelantan,9.2,1.5,10.8,1.2,11.9
2.301874,102.30943,Melaka,12.6,5.7,18.4,2.1,20.5
2.782086,102.246249,Negeri Sembilan,14.3,4.3,18.7,2.4,21
3.580066,102.740679,Pahang,10.1,2.1,12.2,1.6,13.9
4.541805,101.062068,Perak,10.1,4.2,14.4,2.3,16.6
6.653935,100.274061,Perlis,18.6,1.7,20.3,1.5,21.7
5.386393,100.253896,Pulau Pinang ,11,6.6,17.5,2.5,20.1
5.368437,100.450014,Pulau Pinang ,11,6.6,17.5,2.5,20.1
5.275299,117.108419,Sabah,6.7,1.3,8,0.8,8.9
2.651528,113.767892,Sarawak,10.9,1.9,12.8,1.2,14
3.280866,101.503325,Selangor,8.6,5.8,14.4,2,16.4
4.882101,103.141366,Terengganu,11.3,2.1,13.4,1.4,14.8
3.148164,101.691846,W.P. Kuala Lumpur,16,13.8,29.8,3.6,33.4
5.311329,115.219238,W.P. Labuan,5.7,2.4,8.1,0.6,8.7
2.926003,101.688412,W.P. Putrajaya,9.4,0,9.4,0.8,10.2
