Latitude,Longitude,state,Population_Served_Per_Public_Hospital,Population_Served_Per_Private_Hospital,Population_Served_By_All_Hospitals,Beds_In_Public_Hospitals_Per_10000_People,Nurses_Per_10000_People
1.948424,103.473396,Johor,313333.3,250666.7,139259.3,13.8,17.9
5.982475,100.664901,Kedah,242222.2,436000.0,155714.3,12.3,21.3
5.346801,101.979464,Kelantan,188000.0,376000.0,125333.3,13.8,18.5
2.301874,102.30943,Melaka,310000.0,310000.0,155000.0,15.3,22.6
2.782086,102.246249,Negeri Sembilan,188333.3,282500.0,113000.0,16.2,23.2
3.580066,102.740679,Pahang,151818.2,167000.0,79523.8,13.9,24.1
4.541805,101.062068,Perak,167333.3,179285.7,86551.7,22.1,23.4
6.653935,100.274061,Perlis,65000.0,260000.0,52000.0,15.7,34.3
5.386393,100.253896,Pulau Pinang ,295000.0,295000.0,147500.0,12.0,20.0
5.368437,100.450014,Pulau Pinang ,295000.0,295000.0,147500.0,12.0,20.0
5.275299,117.108419,Sabah,200000.0,800000.0,160000.0,12.0,18.0
2.651528,113.767892,Sarawak,121739.1,280000.0,84848.5,14.2,20.3
3.280866,101.503325,Selangor,366666.7,146666.7,104761.9,8.4,13.2
4.882101,103.141366,Terengganu,206666.7,1240000.0,177142.9,13.3,23.1
3.148164,101.691846,W.P. Kuala Lumpur,298333.3,47105.3,40681.8,27.3,8.4
5.311329,115.219238,W.P. Labuan,50000.0,100000.0,33333.3,12.2,22.8
2.926003,101.688412,W.P. Putrajaya,100000.0,0.0,100000.0,59.3,18.3
